day,pos,area,maj_ax,min_ax,peri,gmd,sf,v_projected,v_corrected
6,o,14606.72,145.93,128.162,637.149,136.758,0.6724194673726941,1327984.0430759538,892962.3229245697
6,q18,11406.72,124.816,118.287,806.99,121.508,0.4691558861377904,916441.9735096578,429954.14617578895
6,r,10078.72,117.888,110.022,611.515,113.887,0.5819698792425427,761152.8369578533,442968.0246094807
6,s,4883.84,84.998,80.809,783.322,82.877,0.31626076832990146,256747.3333385372,81199.1089082991
7,a,5646.08,88.433,83.308,462.601,85.832,0.5758002889463982,319142.27854561846,183762.21620157902
7,b,11585.92,124.051,120.41,666.635,122.217,0.5723768803222022,938122.5780256479,536959.6745701421
7,c,14788.48,147.05,129.644,811.488,138.073,0.5312324541400896,1352848.323394075,718676.93491594
7,d,17692.8,152.674,148.254,741.301,150.448,0.636075444603498,1770348.0324827784,1126074.911864411
7,e,17767.04,161.901,141.877,723.014,151.559,0.6535303563474318,1781502.435483983,1164265.921495665
7,f,18936.32,164.764,148.619,1079.091,156.483,0.4520585145647762,1960230.6535118322,886138.9574308994
7,g,17820.16,154.331,147.93,709.262,151.097,0.6671969298365923,1789497.9238753242,1193947.5207585723
7,h,19532.16,168.329,148.606,771.322,158.16,0.6423095066333038,2053474.0077797952,1318965.8768213533
7,i,14239.36,140.134,132.722,933.198,136.378,0.45329023947096503,1278202.0368546976,579396.5073781412
7,j,18170.24,158.805,146.365,605.47,152.458,0.7892100997149236,1842488.5421072233,1454110.566040046
7,k,16901.76,149.563,144.422,651.903,146.97,0.7069487284289229,1652957.533280876,1168556.2262999243
7,l,18355.84,167.742,140.866,879.829,153.718,0.5458757367915834,1870790.6706511513,1021219.2357245177
7,m,17480.96,160.549,139.066,593.886,149.422,0.7891952887831839,1738648.214332614,1372132.9796025944
7,n,11915.52,132.296,115.815,690.332,123.782,0.5605358923110002,978437.9751256888,548449.6034580462
7,o,13665.92,137.934,126.674,584.505,132.184,0.7089835169547196,1201772.0833687582,852036.5982447827
7,p,13814.4,137.33,129.206,682.63,133.206,0.6103593121323106,1221411.0388159296,745499.6014825017
7,q18,11003.52,126.064,113.824,905.651,119.788,0.4105914292497006,868282.9158146231,356509.52339742356
7,r,9538.56,116.954,107.196,853.566,111.969,0.4056105405147662,700790.2066703393,284247.89451501105
7,s,3957.76,81.076,75.106,837.841,78.034,0.2661754828621298,187300.0885092275,49854.69149906327
8,a,5614.72,86.682,84.557,434.331,85.613,0.6115727917062083,316487.0580132861,193554.87360807008
8,b,10658.56,119.325,115.328,663.246,117.309,0.5517972855237,827773.6577381853,456763.25736795494
8,c,14702.08,144.956,130.652,825.22,137.618,0.5208642830810494,1341009.86483045,698484.1418495273
8,d,18040.96,156.61,148.517,889.954,152.51,0.5350165227739628,1822859.7925988424,975260.1077406998
8,e,16611.2,148.962,142.471,646.942,145.68,0.7062201240344534,1610516.9912238605,1137379.5093017095
